Date,Close/Last,Volume,Open,High,Low
05/03/2024,$47.12,17935300,$47.10,$47.40,$46.84
05/02/2024,$46.79,15441650,$47.03,$47.12,$46.60
05/01/2024,$46.84,18266420,$46.70,$47.57,$46.681
04/30/2024,$46.98,18535440,$47.61,$47.69,$46.97
04/29/2024,$47.78,11599450,$47.99,$48.31,$47.58
04/26/2024,$47.86,14658910,$47.64,$48.28,$47.61
04/25/2024,$48.10,18790890,$48.78,$48.93,$47.85
04/24/2024,$48.35,14828460,$48.05,$48.38,$47.92
04/23/2024,$48.32,16261700,$48.14,$48.46,$48.055
04/22/2024,$48.14,20135730,$48.49,$48.59,$48.00
04/19/2024,$48.32,20964430,$48.39,$48.43,$48.03
04/18/2024,$48.11,13080920,$48.41,$48.41,$47.88
04/17/2024,$47.79,14407570,$48.00,$48.28,$47.7101
04/16/2024,$47.92,14233430,$48.47,$48.51,$47.84
04/15/2024,$48.24,20310810,$49.72,$49.79,$48.20
04/12/2024,$48.49,16418050,$49.21,$49.23,$48.44
04/11/2024,$49.53,15703890,$49.32,$49.59,$49.00
04/10/2024,$49.21,20026350,$49.73,$49.77,$48.81
04/09/2024,$50.01,26697100,$48.84,$50.20,$48.515
04/08/2024,$48.24,15375700,$48.19,$48.66,$48.16
04/05/2024,$48.55,18661290,$47.96,$48.67,$47.89
04/04/2024,$48.11,17373970,$49.09,$49.55,$48.0431
04/03/2024,$48.74,22210020,$48.80,$49.22,$48.66
04/02/2024,$49.36,16414410,$49.96,$50.09,$49.145
04/01/2024,$50.04,15138080,$49.96,$50.20,$49.865
03/28/2024,$49.91,18139740,$49.89,$50.195,$49.81
03/27/2024,$49.77,17230960,$49.77,$49.90,$49.41
03/26/2024,$49.55,13842920,$49.55,$49.81,$49.48
03/25/2024,$49.68,16191160,$49.56,$49.76,$49.29
03/22/2024,$49.78,15022860,$50.05,$50.10,$49.72
03/21/2024,$49.88,26102850,$49.71,$50.19,$49.56
03/20/2024,$49.55,18554110,$49.04,$49.58,$48.94
03/19/2024,$49.14,19601130,$49.12,$49.595,$48.97
03/18/2024,$49.27,17406660,$49.22,$49.66,$48.98
03/15/2024,$48.93,57049240,$49.79,$49.96,$48.904
